Acadept,Degname,Major,Acad Yr,Count of OSIR
BIOS,PHD,Biological Sciences (PHD),2020,26
BIOS,PHD,Biological Sciences (PHD),2019,25
BIOS,PHD,Biological Sciences (PHD),2018,24
BIOS,PHD,Biological Sciences (PHD),2017,23
BIOS,PHD,Biological Sciences (PHD),2016,24
C&I,,Pre-Elementary Education,2019,1
C&I,,Pre-Elementary Education,2018,19
C&I,,Pre-Elementary Education,2017,95
C&I,,Pre-Elementary Education,2016,192
C&I,BSED,Middle Level Teaching and Learning (BSED),2025,58
C&I,BSED,Elementary Education: Special Education (BSED),2025,13
C&I,BSED,Elementary Education: Reading Teacher (BSED),2025,34
C&I,BSED,Elementary Education: General Elementary Education (BSED),2025,180
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2025,14
C&I,BSED,Elementary Education: Early Childhood Education (BSED),2025,20
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2025,89
C&I,BSED,Elem Educ: Early Childhood Education with Special Education Approval (BSED),2025,14
C&I,BSED,Middle Level Teaching and Learning (BSED),2024,48
C&I,BSED,Elementary Education: Special Education (BSED),2024,30
C&I,BSED,Elementary Education: Reading Teacher (BSED),2024,39
C&I,BSED,Elementary Education: General Elementary Education (BSED),2024,142
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2024,19
C&I,BSED,Elementary Education: Early Childhood Education (BSED),2024,28
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2024,104
C&I,BSED,Elem Educ: Early Childhood Education with Special Education Approval (BSED),2024,4
C&I,BSED,Middle Level Teaching and Learning (BSED),2023,92
C&I,BSED,Elementary Education: Special Education (BSED),2023,49
C&I,BSED,Elementary Education: Reading Teacher (BSED),2023,69
C&I,BSED,Elementary Education: General Elementary Education (BSED),2023,14
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2023,24
C&I,BSED,Elementary Education: Early Childhood Education (BSED),2023,57
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2023,126
C&I,BSED,Elem Educ: Early Childhood Education with Special Education Approval (BSED),2023,5
C&I,BSED,Middle Level Teaching and Learning (BSED),2022,82
C&I,BSED,Elementary Education: Special Education (BSED),2022,72
C&I,BSED,Elementary Education: Reading Teacher (BSED),2022,87
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2022,18
C&I,BSED,Elementary Education: Early Childhood Education (BSED),2022,35
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2022,131
C&I,BSED,Elem Educ: Early Childhood Education with Special Education Approval (BSED),2022,9
C&I,BSED,Middle Level Teaching and Learning (BSED),2021,83
C&I,BSED,Elementary Education: Special Education (BSED),2021,90
C&I,BSED,Elementary Education: Reading Teacher (BSED),2021,90
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2021,24
C&I,BSED,Elementary Education: Early Childhood Education (BSED),2021,3
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2021,167
C&I,BSED,Middle Level Teaching and Learning (BSED),2020,75
C&I,BSED,Elementary Education: Special Education (BSED),2020,103
C&I,BSED,Elementary Education: Reading Teacher (BSED),2020,60
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2020,23
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2020,181
C&I,BSED,Middle Level Teaching and Learning (BSED),2019,81
C&I,BSED,Elementary Education: Special Education (BSED),2019,73
C&I,BSED,Elementary Education: Reading Teacher (BSED),2019,67
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2019,22
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2019,160
C&I,BSED,Elementary Educ-General (BSED),2019,2
C&I,BSED,Middle Level Teaching and Learning (BSED),2018,73
C&I,BSED,Elementary Education: Special Education (BSED),2018,62
C&I,BSED,Elementary Education: Reading Teacher (BSED),2018,50
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2018,21
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2018,119
C&I,BSED,Elementary Educ-General (BSED),2018,45
C&I,BSED,Middle Level Teaching and Learning (BSED),2017,67
C&I,BSED,Elementary Education: Special Education (BSED),2017,7
C&I,BSED,Elementary Education: Reading Teacher (BSED),2017,12
C&I,BSED,Elementary Education: Elementary Mathematics Education (BSED),2017,3
C&I,BSED,Elementary Education: Bilingual/ESL (BSED),2017,11
C&I,BSED,Elementary Educ-General (BSED),2017,182
C&I,BSED,Elementary Educ-General (BSED),2016,169
C&I,CGS,Certificate of Graduate Study - Trauma-Informed Counseling (CGS),2025,5
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2025,17
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2025,3
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2025,47
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2024,22
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2024,4
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2024,53
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2023,19
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2023,3
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2023,52
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2022,21
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2022,4
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2022,25
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2021,24
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2021,1
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2021,5
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2021,28
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2020,23
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2020,3
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2020,6
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2020,30
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2019,21
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2019,4
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2019,4
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2019,42
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2018,21
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2018,4
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2018,5
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2018,50
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2017,21
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2017,4
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2017,5
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2017,53
C&I,EDD,Curriculum and Instruction-Literacy Education (EDD),2016,26
C&I,EDD,Curriculum and Instruction - Secondary Education (EDD),2016,1
C&I,EDD,"Curriculum and Instruction - Science, Social Studies, and Environmental Edu (EDD)",2016,7
C&I,EDD,Curriculum and Instruction - Curriculum Leadership (EDD),2016,60
C&I,MAT,Elementary Education (MAT),2025,64
C&I,MAT,Early Childhood Education with Initial Licensure (MAT),2025,1
C&I,MAT,Elementary Education (MAT),2024,68
C&I,MAT,Elementary Education (MAT),2023,60
C&I,MAT,Elementary Education (MAT),2022,56
C&I,MAT,Elementary Education (MAT),2021,44
C&I,MAT,Elementary Education (MAT),2020,37
C&I,MAT,Elementary Education (MAT),2019,31
C&I,MAT,Elementary Education (MAT),2018,33
C&I,MAT,Elementary Education (MAT),2017,45
C&I,MAT,Elementary Education (MAT),2016,35
C&I,MSED,Literacy Education: Reading (MSED),2025,43
C&I,MSED,Literacy Education: English as a Second Language/Bilingual Education (MSED),2025,42
C&I,MSED,Curriculum and Instruction: Teacher Leader with Endorsement (MSED),2025,11
C&I,MSED,"Curriculum and Instruction: Academic Literacies, Language, and Culture (MSED)",2025,1
